Название_позиции,Ключевые_слова,Описание,Тип_товара,Цена,Валюта,Единица_измерения,Ссылка_изображения,Наличие,Идентификатор_товара
Металлическая раздвижная чердачная лестница FAKRO LST 80х70,Чердачные лестницы FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Чердачная металлическая лестница Fakro LST</h2> <p>Металлическая складная  --- LST имеет “ножничную” систему складывания, благодаря чему достаточно компактна в сложенном виде. Модель оснащена энергосберегающей крышкой белого цвета в высокими термоизоляционными свойствами. По периметру люка складной лестницы идет контур уплотнения, который гарантирует отличную герметичность. Роль поручней выполняют S-образные боковые элементы металлической  --- Fakro LST, одновременно придавая модели современный вид.</p> <p>Лестницу рекомендуется устанавлавить а помещениях с высотой 260-280 см. Если необходимо увеличить высоту лестницы, всегда есть возможность купить ступеньки LSS (при покупке учесть шиирну люка либо ширину ступеньки). Максимально возможное количество дополнительных ступеней – 2.</p> <h2>Технические характеристики лестницы Fakro LST:</h2> <ul> <li>Максимальная высота помещения, см: 280;</li> <li>Максимальный вынос лестницы, см: 150;</li> <li>Радиус открывания лестницы, см: 134-138;</li> <li>Высота лестницы в закрытом положении, см: 38,2;</li> <li>Допустимая нагрузка, кг: 200;</li> <li>Крышка – панель типа «сэндвич», мм: 360;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба, мм: 180;</li> <li>Цвет крышки люка: белый;</li> <li>Сопротивление теплопередаче: 0,91;</li> <li>Гарантия: 3 года.</li> </ul> <iframe allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/UWQyTxmYNcU?rel=0&amp;wmode=transparent"" width=""560""></iframe></div>",u,6 890,UAH,шт,https://images.ua.prom.st/494634668_w640_h640_cid1051305_pid347436687-7f08b79f.jpg,+,617624963
Металлическая трехсекционная чердачная лестница FAKRO LMK Komfort 120х60,Чердачные лестницы FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p>Трехсекционная металлическая чердачная лестница Fakro LMK Komfort</p> <p>Fakro LMK Komfort – это трехсекционная металлическая  ---, характеризуется своей простотой и надежностью. Комфортность эксплуатации обеспечивается наличием красного металлического поручня, крышкой люка с термоизоляционными свойствами и специальными накладками из пластика на ножках (они уберегут пол от повреждений). Модель идеально подходит для помещений с большим перепадом температур между помещением и мансардой (чердаком), надежно защищая от потерь тепла.</p> <p>Направляющие и ступеньки металлических лестниц надежно скреплены между собой, поэтому на чердак без проблем сможет подняться человек любой комплекции. Максимальная нагрузка, которую сможет выдержать данная модель – 200 кг. Противоскользящие насечки обеспечать дополнительную безопасность при использовании. У  ---  LMK Komfort есть возможность регулировки высоты, а в сложенном виде они становятся компактными: храняться находятся за потолком и не занимают пространство в помещении.</p> <h2>Технические характеристики:</h2> <ul> <li>Максимальная высота помещения, см: 280;</li> <li>Максимальный вынос лестницы, см: 157;</li> <li>Радиус открывания лестницы, см: 118,5;</li> <li>Высота лестницы в закрытом положении, см: 25,5;</li> <li>Допустимая нагрузка, кг: 200;</li> <li>Крышка – панель типа «сэндвич», мм: 360;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба, мм: 140;</li> <li>Цвет крышки люка: белый;</li> <li>Сопротивление теплопередаче: 0,91;</li> <li>Гарантия: 3 года.</li> </ul></div>",u,"4 461,60",UAH,шт,https://images.ua.prom.st/835797705_w640_h640_cid1051305_pid347436683-db279a9d.jpg,+,157980757
"Деревянная четырехсекционная чердачная лестница VELTA Стандарт mini NLL 3620 92,5x60",Чердачные лестницы VELUX,"<div data-qaid=""product_description"" itemprop=""description""><h2>Мансардная складная лестница VELTA Стандарт mini NLL</h2> <p>Особенностью данной деревянной лестницы есть отличная изоляция, разработана по принципу технологии ClickFIX®.</p> <p>Характеристики лестницы VELTA Стандарт mini NLL:</p> <ul> <li>Люк (36 мм) с изоляцией из полистирола (30 мм);</li> <li>Лёгкость и прочность – ее вес составляет всего 25 кг, что до 25% меньше веса других лестниц;</li> <li>Конструкция из трех секция занимает мало места на мансарде или чердаке;</li> <li>Конструкция раскладывается просто и плавно благодаря уравновешивающим пружинам;</li> <li>Ступеньки с антискользящим эффектом и ножки с платиковыми накладками;</li> <li>Общий дизайн крышки белого цвета и скрытым шарниром;</li> <li>Исключение сквозняков за счет отличной герметичности;</li> <li>Максимальная высота помещения – 272 см;</li> <li>Есть возможность приобрести доп. секцию для увеличения высоты лестницы;</li> <li>Рабочая нагрузка – 150 кг, максимальная нагрузка в период испытаний – 265 кг.</li> </ul></div>",u,4 361,UAH,шт,https://images.ua.prom.st/494634681_w640_h640_cid1051305_pid347436692-0cf7dc4f.jpg,+,472620336
Деревянная трехсекционная чердачная лестница VELTA Стандарт NLL 3610 120х60,Чердачные лестницы VELUX,"<div data-qaid=""product_description"" itemprop=""description""><h2>Мансардная складная лестница VELTA Стандарт NLL</h2> <p>Особенностью данной деревянной лестницы есть отличная изоляция, разработана по принципу технологии ClickFIX®.</p> <p>Характеристики лестницы VELTA Стандарт NLL:</p> <ul> <li>Люк (36 мм) с изоляцией из полистирола (30 мм);</li> <li>Лёгкость и прочность – ее вес составляет всего 25 кг, что до 25% меньше веса других лестниц;</li> <li>Конструкция из трех секция занимает мало места на мансарде или чердаке;</li> <li>Конструкция раскладывается просто и плавно благодаря уравновешивающим пружинам;</li> <li>Ступеньки с антискользящим эффектом и ножки с платиковыми накладками;</li> <li>Общий дизайн крышки белого цвета и скрытым шарниром;</li> <li>Исключение сквозняков за счет отличной герметичности;</li> <li>Максимальная высота помещения – 275 см;</li> <li>Есть возможность приобрести доп. секцию для увеличения высоты лестницы;</li> <li>Рабочая нагрузка – 150 кг, максимальная нагрузка в период испытаний – 265 кг.</li> </ul></div>",u,"3 266,30",UAH,шт,https://images.ua.prom.st/494634679_w640_h640_cid1051305_pid347436690-60d481e5.jpg,+,605880379
Металлическая раздвижная чердачная лестница FAKRO LST 90х60,Чердачные лестницы FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Чердачная металлическая лестница Fakro LST</h2> <p>Металлическая складная лестница Fakro LST имеет “ножничную” систему складывания, благодаря чему достаточно компактна в сложенном виде. Модель оснащена энергосберегающей крышкой белого цвета в высокими термоизоляционными свойствами. По периметру люка складной лестницы идет контур уплотнения, который гарантирует отличную герметичность. Роль поручней выполняют S-образные боковые элементы металлической  --- LST, одновременно придавая модели современный вид.</p> <p> --- рекомендуется устанавлавить а помещениях с высотой 260-280 см. Если необходимо увеличить высоту лестницы, всегда есть возможность купить ступеньки LSS (при покупке учесть шиирну люка либо ширину ступеньки). Максимально возможное количество дополнительных ступеней – 2.</p> <h2>Технические характеристики лестницы Fakro LST:</h2> <ul> <li>Максимальная высота помещения, см: 280;</li> <li>Максимальный вынос лестницы, см: 150;</li> <li>Радиус открывания лестницы, см: 134-139;</li> <li>Высота лестницы в закрытом положении, см: 38,2;</li> <li>Допустимая нагрузка, кг: 200;</li> <li>Крышка – панель типа «сэндвич», мм: 360;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба, мм: 180;</li> <li>Цвет крышки люка: белый;</li> <li>Сопротивление теплопередаче: 0,91;</li> <li>Гарантия: 3 года.</li> </ul> <iframe allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/UWQyTxmYNcU?rel=0&amp;wmode=transparent"" width=""560""></iframe></div>",u,6 890,UAH,шт,https://images.ua.prom.st/494634673_w640_h640_cid1051305_pid347436688-8fe2f990.jpg,+,877522469
Деревянная трехсекционная чердачная лестница VELTA Комфорт NLL 5620 120х60,Чердачные лестницы VELUX,"<div data-qaid=""product_description"" itemprop=""description""><h2>Мансардная складная лестница VELTA Комфорт NLL</h2> <p>Особенностью данной деревянной лестницы есть отличная изоляция, разработана по принципу технологии ClickFIX®.</p> <p>Характеристики лестницы VELTA Комфорт NLL:</p> <ul> <li>Люк (56 мм) с изоляцией из полистирола (50 мм);</li> <li>Лёгкость и прочность – ее вес составляет всего 23 кг, что до 25% меньше веса других лестниц;</li> <li>Конструкция из трех секция занимает мало места на мансарде или чердаке;</li> <li>Конструкция раскладывается просто и плавно благодаря уравновешивающим пружинам;</li> <li>Ступеньки с антискользящим эффектом и ножки с платиковыми накладками;</li> <li>Общий дизайн крышки белого цвета и скрытым шарниром;</li> <li>Исключение сквозняков за счет отличной герметичности;</li> <li>Максимальная высота помещения – 275 см;</li> <li>Есть возможность приобрести доп. секцию для увеличения высоты лестницы;</li> <li>Рабочая нагрузка – 150 кг, максимальная нагрузка в период испытаний – 265 кг.</li> </ul></div>",u,"5 348,90",UAH,шт,https://images.ua.prom.st/494634683_w640_h640_cid1051305_pid347436694-606b38e0.jpg,+,750790744
Дополнительная секция VELTA  ZLL 116 для модели Стандарт NLL3610,Чердачные лестницы VELUX,"<div data-qaid=""product_description"" itemprop=""description""><p> Дополнительная секция VELTA ZLL 116 ---я увеличения высоты чердачных лестниц VELTA.</p> <p>Дополнительная секция Velta ZLL 116 устанавливается между второй и третьей секцией лестницы для моделей Базовая NLL 26 та Стандарт NLL36. Максимальная высота потолка для установки лестницы с дополнительной секцией - 343 см.</p> <p>Дополнительная секция Velta ZLL 116 складывается и полностью убирается в потолок, не занимая места ни в жилом помещении, ни на чердаке.</p></div>",u,"1 201,50",UAH,шт,https://images.ua.prom.st/494634687_w640_h640_cid1051305_pid347436698-9a3f9b57.jpg,+,797592386
Дополнительная секция VELTA  ZLL 119 для модели Премиум NLL7630,Чердачные лестницы VELUX,"<div data-qaid=""product_description"" itemprop=""description""><p>Дополнительная секция VELTA ZLL 119  ---м NLL7630 устанавливается между второй и третьей секцией лестницы. Максимальная высота потолка для установки лестницы с дополнительной секцией - 343 см.</p></div>",u,"1 201,50",UAH,шт,https://images.ua.prom.st/494634689_w640_h640_cid1051305_pid347436700-1353ffec.jpg,+,106624293
Деревянная трехсекционная чердачная лестница ROTO BTR Norm 8/3 ISO 120x70,Чердачные лестницы ROTO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Деревянная лестница Roto Norm 8/3 ISO-RC</h2> <p>Складная лестница на чердак Roto Norm 8/3 ISO-RC дает свободный доступ на чердак либо мансарду, благодаря своей практичности и легкости. За счет того, крышка люка имеет термоизоляцию, данную  модель можно устанавливать даже помещениях без отопления. </p> <p>Угол наклона крышки плавно регулируется с помощью специальной фернитуре Roto и гарантирует простой монтаж. Также крышка имеет надежную систему замков, которая обеспечит безопасность для жильцов дома.</p> <h3>Характеристики деревянной лестницы Roto Norm 8/3 ISO-RC:</h3> <ul> <li>Размер проема в потолке:    120х70 см;</li> <li>Радиус открывания лестницы:    156-166 см;</li> <li>Максимальная высота помещения: 288 см;</li> <li>Ширина ступеньки:    36 см;</li> <li>Толщина крышки люка (панель типа «сэндвич»):    76 мм;</li> <li>Рекомендованная нагрузка на лестницу:    150 кг;</li> <li>Утепление люка:    да;</li> <li>Цвет крышки люка:    белая;</li> <li>Материал:    дерево/дерево/дерево;</li> <li>Максимальный вынос:    87-138 см;</li> <li>Накладки для ножек:    да;</li> <li>Рамер короба:    118х68 см;</li> <li>Высота короба: 190 мм;</li> <li>Сопротивление теплопередаче: 1,3.</li> </ul></div>",u,"8 033,13",UAH,шт,https://images.ua.prom.st/494634691_w640_h640_cid1051305_pid347436702-ea476990.jpg,+,809105221
Деревянная трехсекционная чердачная лестница VELTA Премиум NLL 7630 120х60,Чердачные лестницы VELUX,"<div data-qaid=""product_description"" itemprop=""description""><h2>Мансардная складная лестница VELTA Премиум NLL</h2> <p>Особенностью данной деревянной лестницы есть отличная изоляция, разработана по принципу технологии ClickFIX®.</p> <p>Характеристики лестницы VELTA Премиум NLL:</p> <ul> <li>Люк (76 мм) с изоляцией из полистирола (70 мм);</li> <li>Лёгкость и прочность – ее вес составляет всего 23 кг, что до 25% меньше веса других лестниц;</li> <li>Конструкция из трех секция занимает мало места на мансарде или чердаке;</li> <li>Конструкция раскладывается просто и плавно благодаря уравновешивающим пружинам;</li> <li>Ступеньки с антискользящим эффектом и ножки с платиковыми накладками;</li> <li>Общий дизайн крышки белого цвета и скрытым шарниром;</li> <li>Исключение сквозняков за счет отличной герметичности;</li> <li>Максимальная высота помещения – 276 см;</li> <li>Есть возможность приобрести доп. секцию для увеличения высоты лестницы;</li> <li>Рабочая нагрузка – 150 кг, максимальная нагрузка в период испытаний – 265 кг.</li> </ul></div>",u,"8 125,70",UAH,шт,https://images.ua.prom.st/494634685_w640_h640_cid1051305_pid347436696-a5b06eca.jpg,+,862252401
Деревянная трехсекционная чердачная лестница ROTO Esca 130x70,Чердачные лестницы ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p>Деревянная лестница на чердак ROTO Esca</p> <p>За счет утепленной крышки люка и дерева, как основного материала, мансардная лестница ROTO Esca славится своей простотой в применении и способностью удерживать тепло. И в морозный зимний день, опустив лестницу с чердака, Вы почуствуете небольшую прохладу от остывашего дерева, а не обжигающий холод от прикосновения к лестнице из металла.</p> <p>Лестница ROTO Esca предназначена для комнат высотой 220-285 см.</p> <p>Характеристики  --- Esca:</p> <ul> <li>Максимальная высота помещения, см: 285;</li> <li>Допустимая нагрузка, кг: 150;</li> <li>Крышка – панель типа «сэндвич», мм: 36;</li> <li>Высота короба, мм: 140;</li> <li>Сопротивление теплопередаче: 0,77.</li> </ul></div>",u,"7 472,09",UAH,шт,https://images.ua.prom.st/494634695_w640_h640_cid1051305_pid347436706-5a84a1f1.jpg,+,209154174
"Деревянная четырехсекционная чердачная лестница VELTA Стандарт mini NLL 3620 92,5x70",Чердачные лестницы VELUX,"<div data-qaid=""product_description"" itemprop=""description""><h2>Мансардная складная лестница VELTA Стандарт mini NLL</h2> <p>Особенностью данной деревянной лестницы есть отличная изоляция, разработана по принципу технологии ClickFIX®.</p> <p>Характеристики лестницы VELTA Стандарт mini NLL:</p> <ul> <li>Люк (36 мм) с изоляцией из полистирола (30 мм);</li> <li>Лёгкость и прочность – ее вес составляет всего 25 кг, что до 25% меньше веса других лестниц;</li> <li>Конструкция из трех секция занимает мало места на мансарде или чердаке;</li> <li>Конструкция раскладывается просто и плавно благодаря уравновешивающим пружинам;</li> <li>Ступеньки с антискользящим эффектом и ножки с платиковыми накладками;</li> <li>Общий дизайн крышки белого цвета и скрытым шарниром;</li> <li>Исключение сквозняков за счет отличной герметичности;</li> <li>Максимальная высота помещения – 272 см;</li> <li>Есть возможность приобрести доп. секцию для увеличения высоты лестницы;</li> <li>Рабочая нагрузка – 150 кг, максимальная нагрузка в период испытаний – 265 кг.</li> </ul></div>",u,4 361,UAH,шт,https://images.ua.prom.st/494634682_w640_h640_cid1051305_pid347436693-e441b2fe.jpg,+,338075953
Деревянная трехсекционная чердачная лестница ROTO Esca 120x60,Чердачные лестницы ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p>Деревянная лестница на чердак ROTO Esca</p> <p>За счет утепленной крышки люка и дерева, как основного материала, мансардная лестница ROTO Esca славится своей простотой в применении и способностью удерживать тепло. И в морозный зимний день, опустив лестницу с чердака, Вы почуствуете небольшую прохладу от остывашего дерева, а не обжигающий холод от прикосновения к лестнице из металла.</p> <p>Лестница ROTO Esca предназначена для комнат высотой 220-285 см.</p> <p>Характеристики  --- Esca:</p> <ul> <li>Максимальная высота помещения, см: 285;</li> <li>Допустимая нагрузка, кг: 150;</li> <li>Крышка – панель типа «сэндвич», мм: 36;</li> <li>Высота короба, мм: 140;</li> <li>Сопротивление теплопередаче: 0,77.</li> </ul></div>",u,"6 554,01",UAH,шт,https://images.ua.prom.st/494634693_w640_h640_cid1051305_pid347436704-7baba9a6.jpg,+,923845578
Деревянная трехсекционная чердачная лестница VELTA Стандарт NLL 3610 120х70,Чердачные лестницы VELUX,"<div data-qaid=""product_description"" itemprop=""description""><h2>Мансардная складная лестница VELTA Стандарт NLL</h2> <p>Особенностью данной деревянной лестницы есть отличная изоляция, разработана по принципу технологии ClickFIX®.</p> <p>Характеристики лестницы VELTA Стандарт NLL:</p> <ul> <li>Люк (36 мм) с изоляцией из полистирола (30 мм);</li> <li>Лёгкость и прочность – ее вес составляет всего 25 кг, что до 25% меньше веса других лестниц;</li> <li>Конструкция из трех секция занимает мало места на мансарде или чердаке;</li> <li>Конструкция раскладывается просто и плавно благодаря уравновешивающим пружинам;</li> <li>Ступеньки с антискользящим эффектом и ножки с платиковыми накладками;</li> <li>Общий дизайн крышки белого цвета и скрытым шарниром;</li> <li>Исключение сквозняков за счет отличной герметичности;</li> <li>Максимальная высота помещения – 275 см;</li> <li>Есть возможность приобрести доп. секцию для увеличения высоты лестницы;</li> <li>Рабочая нагрузка – 150 кг, максимальная нагрузка в период испытаний – 265 кг.</li> </ul></div>",u,"3 266,30",UAH,шт,https://images.ua.prom.st/494634680_w640_h640_cid1051305_pid347436691-8be12063.jpg,+,803288
Деревянная трехсекционная чердачная лестница VELTA Комфорт NLL 5620 120х70,Чердачные лестницы VELUX,"<div data-qaid=""product_description"" itemprop=""description""><h2>Мансардная складная лестница VELTA Комфорт NLL</h2> <p>Особенностью данной деревянной лестницы есть отличная изоляция, разработана по принципу технологии ClickFIX®.</p> <p>Характеристики лестницы VELTA Комфорт NLL:</p> <ul> <li>Люк (56 мм) с изоляцией из полистирола (50 мм);</li> <li>Лёгкость и прочность – ее вес составляет всего 23 кг, что до 25% меньше веса других лестниц;</li> <li>Конструкция из трех секция занимает мало места на мансарде или чердаке;</li> <li>Конструкция раскладывается просто и плавно благодаря уравновешивающим пружинам;</li> <li>Ступеньки с антискользящим эффектом и ножки с платиковыми накладками;</li> <li>Общий дизайн крышки белого цвета и скрытым шарниром;</li> <li>Исключение сквозняков за счет отличной герметичности;</li> <li>Максимальная высота помещения – 275 см;</li> <li>Есть возможность приобрести доп. секцию для увеличения высоты лестницы;</li> <li>Рабочая нагрузка – 150 кг, максимальная нагрузка в период испытаний – 265 кг.</li> </ul></div>",u,"5 348,90",UAH,шт,https://images.ua.prom.st/494634684_w640_h640_cid1051305_pid347436695-d841117c.jpg,+,458268331
Дополнительный сегмент LSS к лестнице LST,Чердачные лестницы FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p>Дополнительный сегмент LSS применяется для увеличения высоты  --- LST до 300 или 320 см. Максимальное количество дополнительных элементов 2 шт.</p></div>",u,"892,32",UAH,шт,https://images.ua.prom.st/494634678_w640_h640_cid1051305_pid347436689-8857d33c.jpg,+,264679388
"Поручень ZLL 112 для моделей Стандарт NLL3610, Стандарт mini NLL3620",Чердачные лестницы VELUX,"<div data-qaid=""product_description"" itemprop=""description""><p>Поручень предназначен для дополнительного удобства при подъеме по лестнице, подходит для моделей ""Стандарт mini"" и ""Стандарт"".</p> <p>Поручень для  --- Velta ZLL 112 крепится к угловым профилям с левой или правой стороны. Облегчает передвижение по лестнице.</p></div>",u,178,UAH,шт,https://images.ua.prom.st/494634690_w640_h640_cid1051305_pid347436701-9b24f004.jpg,+,304214954
Дополнительная секция VELTA  ZLL 118 для модели Комфорт NLL5620,Чердачные лестницы VELUX,"<div data-qaid=""product_description"" itemprop=""description""><p>Дополнительная секция VELTA ZLL 118  --- увеличения высоты чердачных лестниц ВЕЛТА модели Комфорт NLL5620.</p> <p>Устанавливается между второй и третьей секциями лестницы. Максимальная высота потолка для установки лестницы с дополнительной секцией - 343 см.</p> <p>Дополнительная секция Velta ZLL 118 складывается и полностью собирается без нагромождений в помещении или на крыше.</p></div>",u,"1 201,50",UAH,шт,https://images.ua.prom.st/494634688_w640_h640_cid1051305_pid347436699-46072396.jpg,+,950732493
Деревянная трехсекционная чердачная лестница VELTA Премиум NLL 7630 120х70,Чердачные лестницы VELUX,"<div data-qaid=""product_description"" itemprop=""description""><h2>Мансардная складная лестница VELTA Премиум NLL</h2> <p>Особенностью данной деревянной лестницы есть отличная изоляция, разработана по принципу технологии ClickFIX®.</p> <p>Характеристики лестницы VELTA Премиум NLL:</p> <ul> <li>Люк (76 мм) с изоляцией из полистирола (70 мм);</li> <li>Лёгкость и прочность – ее вес составляет всего 23 кг, что до 25% меньше веса других лестниц;</li> <li>Конструкция из трех секция занимает мало места на мансарде или чердаке;</li> <li>Конструкция раскладывается просто и плавно благодаря уравновешивающим пружинам;</li> <li>Ступеньки с антискользящим эффектом и ножки с платиковыми накладками;</li> <li>Общий дизайн крышки белого цвета и скрытым шарниром;</li> <li>Исключение сквозняков за счет отличной герметичности;</li> <li>Максимальная высота помещения – 276 см;</li> <li>Есть возможность приобрести доп. секцию для увеличения высоты лестницы;</li> <li>Рабочая нагрузка – 150 кг, максимальная нагрузка в период испытаний – 265 кг.</li> </ul></div>",u,"8 125,70",UAH,шт,https://images.ua.prom.st/494634686_w640_h640_cid1051305_pid347436697-3c95f5e8.jpg,+,995034680
Деревянная трехсекционная чердачная лестница ROTO Esca 140x70,Чердачные лестницы ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p>Деревянная лестница на чердак ROTO Esca</p> <p>За счет утепленной крышки люка и дерева, как основного материала, мансардная лестница ROTO Esca славится своей простотой в применении и способностью удерживать тепло. И в морозный зимний день, опустив лестницу с чердака, Вы почуствуете небольшую прохладу от остывашего дерева, а не обжигающий холод от прикосновения к лестнице из металла.</p> <p>Лестница ROTO Esca предназначена для комнат высотой 220-285 см.</p> <p>Характеристики  --- Esca:</p> <ul> <li>Максимальная высота помещения, см: 285;</li> <li>Допустимая нагрузка, кг: 150;</li> <li>Крышка – панель типа «сэндвич», мм: 36;</li> <li>Высота короба, мм: 140;</li> <li>Сопротивление теплопередаче: 0,77.</li> </ul></div>",u,"7 472,09",UAH,шт,https://images.ua.prom.st/494634696_w640_h640_cid1051305_pid347436707-d49f4049.jpg,+,641897854
Деревянная трехсекционная чердачная лестница ROTO Esca 120x70,Чердачные лестницы ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p>Деревянная лестница на чердак ROTO Esca</p> <p>За счет утепленной крышки люка и дерева, как основного материала, мансардная лестница ROTO Esca славится своей простотой в применении и способностью удерживать тепло. И в морозный зимний день, опустив лестницу с чердака, Вы почуствуете небольшую прохладу от остывашего дерева, а не обжигающий холод от прикосновения к лестнице из металла.</p> <p>Лестница ROTO Esca предназначена для комнат высотой 220-285 см.</p> <p>Характеристики  --- Esca:</p> <ul> <li>Максимальная высота помещения, см: 285;</li> <li>Допустимая нагрузка, кг: 150;</li> <li>Крышка – панель типа «сэндвич», мм: 36;</li> <li>Высота короба, мм: 140;</li> <li>Сопротивление теплопередаче: 0,77.</li> </ul></div>",u,"6 554,01",UAH,шт,https://images.ua.prom.st/494634694_w640_h640_cid1051305_pid347436705-212d1657.jpg,+,334093781
Деревянная трехсекционная чердачная лестница ROTO Cadet 3 ISO-RC 120x60,Чердачные лестницы ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p>Деревянная мансардная лестница Cadet 3 ISO-RC производится германским концерном Roto. Лестница делится на три секции, благодаря чему она компактно помещается в коробе небольших размеров. Ступеньки из бука достаточно прочные – они выдерживают вес до 150 кг и, благодаря антискользящим засечкам, оберегают пользователя от возможных травм. Ножки модели оснащены специальными насадками, которые защищают напольное покрытие от царапин. </p> <p>Толщина крышки лестницы Roto Cadet 3 ISO-RC составляет 56 мм – благодаря этому лестница отличается усиленными теплоизолирующими свойствами. В целях безопасности люк сонащен замком.  --- укомплектована шестом из металла для открывания. </p> <p>Лестница ROTO Cadet 3 ISO-RC предназначена для комнат высотой 220-285 см.</p> <p>Характеристики Лестницы на чердак ROTO Cadet 3 ISO-RC:</p> <ul> <li>Максимальная высота помещения, см: 285;</li> <li>Допустимая нагрузка, кг: 150;</li> <li>Крышка – панель типа «сэндвич», мм: 56;</li> <li>Высота короба, мм: 190;</li> <li>Сопротивление теплопередаче: 1,11.</li> </ul></div>",u,"9 180,72",UAH,шт,https://images.ua.prom.st/494634697_w640_h640_cid1051305_pid347436708-e0ed2731.jpg,+,472893624
Деревянная трехсекционная чердачная лестница ROTO BTR Norm 8/3 ISO 120x60,Чердачные лестницы ROTO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Деревянная лестница Roto Norm 8/3 ISO-RC</h2> <p>Складная лестница на чердак Roto Norm 8/3 ISO-RC дает свободный доступ на чердак либо мансарду, благодаря своей практичности и легкости. За счет того, крышка люка имеет термоизоляцию, данную  модель можно устанавливать даже помещениях без отопления. </p> <p>Угол наклона крышки плавно регулируется с помощью специальной фернитуре Roto и гарантирует простой монтаж. Также крышка имеет надежную систему замков, которая обеспечит безопасность для жильцов дома.</p> <h3>Характеристики деревянной лестницы Roto Norm 8/3 ISO-RC:</h3> <ul> <li>Размер проема в потолке:    120х60 см;</li> <li>Радиус открывания лестницы:    156-166 см;</li> <li>Максимальная высота помещения: 288 см;</li> <li>Ширина ступеньки:    36 см;</li> <li>Толщина крышки люка (панель типа «сэндвич»):    76 мм;</li> <li>Рекомендованная нагрузка на лестницу:    150 кг;</li> <li>Утепление люка:    да;</li> <li>Цвет крышки люка:    белая;</li> <li>Материал:    дерево/дерево/дерево;</li> <li>Максимальный вынос:    87-138 см;</li> <li>Накладки для ножек:    да;</li> <li>Рамер короба:    118х68 см;</li> <li>Высота короба: 190 мм;</li> <li>Сопротивление теплопередаче: 1,3.</li> </ul></div>",u,"8 033,13",UAH,шт,https://images.ua.prom.st/494634692_w640_h640_cid1051305_pid347436703-61283696.jpg,+,60044343
Деревянная трехсекционная чердачная лестница ROTO Cadet 3 ISO-RC 130x70,Чердачные лестницы ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p>Деревянная мансардная лестница Cadet 3 ISO-RC производится германским концерном Roto. Лестница делится на три секции, благодаря чему она компактно помещается в коробе небольших размеров. Ступеньки из бука достаточно прочные – они выдерживают вес до 150 кг и, благодаря антискользящим засечкам, оберегают пользователя от возможных травм. Ножки модели оснащены специальными насадками, которые защищают напольное покрытие от царапин. </p> <p>Толщина крышки лестницы Roto Cadet 3 ISO-RC составляет 56 мм – благодаря этому лестница отличается усиленными теплоизолирующими свойствами. В целях безопасности люк сонащен замком.  --- укомплектована шестом из металла для открывания. </p> <p>Лестница ROTO Cadet 3 ISO-RC предназначена для комнат высотой 220-285 см.</p> <p>Характеристики Лестницы на чердак ROTO Cadet 3 ISO-RC:</p> <ul> <li>Максимальная высота помещения, см: 285;</li> <li>Допустимая нагрузка, кг: 150;</li> <li>Крышка – панель типа «сэндвич», мм: 56;</li> <li>Высота короба, мм: 190;</li> <li>Сопротивление теплопередаче: 1,11.</li> </ul></div>",u,"9 180,72",UAH,шт,https://images.ua.prom.st/494634699_w640_h640_cid1051305_pid347436710-efa3701e.jpg,+,998479197
